skos:Concept,skos:inScheme,skos:broader,skos:closeMatch,skos:exactMatch,skos:prefLabel@fr,skos:altLabel@fr,skos:hiddenLabel@fr,skos:prefLabel@en,skos:altLabel@en,rdfs:comment@fr,cad:TFNBGroup
Rosier,NatureList,NatureNonBatie,,,Rosier,Plantation de rosiers,,Rose,,,9
Routoir,NatureList,NatureNonBatie,,,Routoir,Rouissoir,,,,,8
Ruine,NatureList,Batiment,,,Ruine,,Ruines,Ruin,,,
Sabliere,NatureList,NatureNonBatie,,,Sablière,Carrière de sable,,Sand quary,,,7
Salin,NatureList,NatureNonBatie,,,Salin,Saline,,Salina,,,8
Sapin,NatureList,NatureNonBatie,,,Sapin,,,Fir tree,Pine tree,,5
Saulaie,NatureList,NatureNonBatie,,,Saulaie,Saussaie,,Willow grove,,,5
Sechoir,NatureList,NatureBatie,Etendoir,,Séchoir,,,Airer,,,13
Serre,NatureList,NatureBatie,,,Serre,Forcerie,,Greenhouse,,"Cadastre actuel : Selon les cas, les serres peuvent être classées ainsi qu'il suit :
- serres non affectées aux besoins d'une exploitation agricole : groupe 13 ;
- serres affectées aux besoins d'une exploitation agricole : groupe 9.","9,13"
Sol,NatureList,NatureNonBatie,,,Sol,Superficie des bâtiments,"Terre de maison,Sol de maison,Sol de la maison,Sol de moulin,Sol de propriété bâtie",Ground,House ground,,13
Terrain,NatureList,NatureNonBatie,,,Terrain,,,Piece of land,,,
TerrainABatir,NatureList,NatureNonBatie,,,Terrain à bâtir,,,Piece of land for building,,,10
TerrainDAgregemnt,NatureList,"NatureNonBatie,ObjetDAgrement",,,Terrain d'agrément,,,Ornemental piece of land,,,11
Terre,NatureList,NatureNonBatie,,,Terre,,T,Bare ground,,"Cadastre actuel : On comprend dans le groupe des terres les terres plantées, quand le produit de la terre l'emporte sensiblement sur celui des plantations. On y fait figurer non seulement les terrains affectés à la culture des céréales, mais aussi ceux qui sont consacrés à la production des légumes (grande culture potagère rentrant dans l'agriculture proprement dite) et des plantes industrielles (tabac, colza, chanvre, lin, etc.). On y range également les prairies artificielles.",1
TerrePlantee,NatureList,NatureNonBatie,,,Terre plantée,Terrain planté,"Tp,T. p., T pt",Planted land,,"Cadastre actuel : Lorsque la plantation fournit le produit principal, le terrain est rangé dans le 3e groupe.","1,3"
TerreAVigne,NatureList,NatureNonBatie,,,Terre à vigne,,,Vineyard land,,,
TerreVaine,NatureList,NatureNonBatie,,,Terre vaine,Terre vague,,,,,6
TerreLabourable,NatureList,NatureNonBatie,,,Terre labourable,,,Plowed land,,,
Tourbiere,NatureList,NatureNonBatie,,,Tourbière,,,Peatland,,,7
Truffiere,NatureList,NatureNonBatie,,,Truffière,,,Truffle patch,,Cadastre actuel : Les terrains spécialement plantés et entretenus en vue de la production des truffes sont rangés dans le 3e groupe.,"3,5"
Verger,NatureList,NatureNonBatie,,,Verger,,,Orchard,,,3
Vigne,NatureList,NatureNonBatie,,,Vigne,,"V,Vig",Vineyard,,,4
Vivier,NatureList,NatureNonBatie,,,Viver,,,Fishpond,,,8
