Wall time,Step,Value
1741786446.1861322,5,0.993399977684021
1741786970.2555873,6,0.9979000091552734
1741787038.1106017,10,1.0
1741787562.5804355,11,0.9998999834060669
1741787598.311694,13,0.9243000149726868
1741787615.950522,14,0.8684999942779541
1741787633.837656,15,0.7986000180244446
1741788180.643567,17,0.7472000122070312
1741788198.3002813,18,0.7336000204086304
1741788216.061094,19,0.7260000109672546
1741788234.3036122,20,0.7228000164031982
1741788823.3168619,24,0.713699996471405
1741790021.6742702,33,0.7052000164985657
1741790040.194462,34,0.7034000158309937
1741790597.7499611,36,0.7001000046730042
1741790651.2266316,39,0.6934999823570251
1741790670.0115683,40,0.6948999762535095
1741791225.7600162,42,0.6902999877929688
1741791261.840762,44,0.6855999827384949
1741791280.3600988,45,0.6814000010490417
1741791841.06888,47,0.6815000176429749
1741791877.627065,49,0.6758000254631042
1741791895.6832345,50,0.6740000247955322
1741792475.523349,53,0.6697999835014343
1741792493.3578048,54,0.6696000099182129
1741792511.219628,55,0.6643000245094299
1741793053.7579608,56,0.6680999994277954
1741793072.2129345,57,0.6664000153541565
1741793126.387512,60,0.6617000102996826
1741793668.11289,61,0.6532999873161316
1741793704.0529947,63,0.6496999859809875
1741793740.4396281,65,0.6488000154495239
1741794282.1198466,66,0.6481999754905701
1741794300.4358666,67,0.6453999876976013
1741794319.7549353,68,0.6425999999046326
1741794895.7223606,71,0.6320000290870667
1741794914.2769918,72,0.6305999755859375
1741794932.8595653,73,0.6265000104904175
1741794950.3910851,74,0.630299985408783
1741795509.4677434,76,0.6205999851226807
1741795563.615155,79,0.6111000180244446
1741796175.693281,84,0.6031000018119812
1741796193.9462187,85,0.6078000068664551
1741796733.6852791,86,0.5950000286102295
1741796751.1763844,87,0.5925999879837036
1741796769.6926374,88,0.5929999947547913
1741796788.0336044,89,0.5927000045776367
1741797402.7244425,94,0.5723000168800354
1741798590.3154242,102,0.5566999912261963
1741798644.631449,105,0.5533000230789185
1741799183.698345,106,0.5541999936103821
1741799834.126724,113,0.5468000173568726
1741800410.1383326,116,0.52920001745224
1741800447.515272,118,0.5264000296592712
