Wall time,Step,Value
1741786446.1861458,5,1.0
1741786970.2555993,6,1.0
1741787038.1106126,10,1.0
1741787562.580447,11,1.0
1741787598.3117049,13,1.0039000511169434
1741787615.9505327,14,1.0772000551223755
1741787633.8376675,15,1.2418999671936035
1741788180.6435814,17,1.4397000074386597
1741788198.3002949,18,1.518399953842163
1741788216.0611079,19,1.531599998474121
1741788234.3036237,20,1.5128999948501587
1741788823.3168721,24,1.4611999988555908
1741790021.6742818,33,1.3279999494552612
1741790040.1944728,34,1.3107000589370728
1741790597.7499769,36,1.2872999906539917
1741790651.2266428,39,1.2929999828338623
1741790670.0115833,40,1.2889000177383423
1741791225.760027,42,1.2690999507904053
1741791261.8407755,44,1.2577999830245972
1741791280.3601093,45,1.2577999830245972
1741791841.0688937,47,1.2598999738693237
1741791877.6270757,49,1.253600001335144
1741791895.6832583,50,1.2402000427246094
1741792475.52336,53,1.236799955368042
1741792493.3578157,54,1.2265000343322754
1741792511.2196393,55,1.2265000343322754
1741793053.7579744,56,1.2187000513076782
1741793072.2129474,57,1.2036000490188599
1741793126.3875237,60,1.2099000215530396
1741793668.1129012,61,1.212399959564209
1741793704.0530083,63,1.2030999660491943
1741793740.439639,65,1.184999942779541
1741794282.1198606,66,1.1851999759674072
1741794300.4358778,67,1.1714999675750732
1741794319.7549467,68,1.170799970626831
1741794895.722374,71,1.1434999704360962
1741794914.277003,72,1.1406999826431274
1741794932.859576,73,1.1402000188827515
1741794950.3910978,74,1.118899941444397
1741795509.4677625,76,1.1080000400543213
1741795563.615166,79,1.0976999998092651
1741796175.6932926,84,1.061900019645691
1741796193.9462295,85,1.073799967765808
1741796733.6852903,86,1.0615999698638916
1741796751.1763961,87,1.0627000331878662
1741796769.6926506,88,1.0489000082015991
1741796788.0336175,89,1.0400999784469604
1741797402.7244534,94,1.0360000133514404
1741798590.3154378,102,1.017300009727478
1741798644.6314607,105,1.0048999786376953
1741799183.698357,106,1.00409996509552
1741799834.1267352,113,0.9954000115394592
1741800410.1383488,116,0.9836999773979187
1741800447.515283,118,0.9753999710083008
1741800466.016526,119,0.9718000292778015
1741800484.5886042,120,0.9645000100135803
1741801080.229502,124,0.9592999815940857
1741801098.726977,125,0.9648000001907349
1741801638.5972502,126,0.9458000063896179
