Wall time,Step,Value
1741786446.1860445,5,8.483699798583984
1741786970.2555182,6,8.444600105285645
1741787038.1105332,10,8.275500297546387
1741787562.5803697,11,8.21399974822998
1741787598.3116152,13,7.74399995803833
1741787615.950443,14,7.391300201416016
1741787633.8375883,15,7.1427001953125
1741788180.6434894,17,6.830100059509277
1741788198.3002148,18,6.701200008392334
1741788216.0610106,19,6.586400032043457
1741788234.3035464,20,6.4653000831604
1741788823.3167853,24,6.197199821472168
1741790021.6741972,33,5.8242998123168945
1741790040.1944005,34,5.765399932861328
1741790597.7498841,36,5.671999931335449
1741790651.2265503,39,5.578499794006348
1741790670.0114732,40,5.534299850463867
1741791225.7599475,42,5.480899810791016
1741791261.8406785,44,5.408100128173828
1741791280.3600338,45,5.39139986038208
1741791841.0687807,47,5.328999996185303
1741791877.6269946,49,5.297399997711182
1741791895.6831472,50,5.280399799346924
1741792475.5232806,53,5.213799953460693
1741792493.3577294,54,5.19920015335083
1741792511.2195659,55,5.180500030517578
1741793053.7578855,56,5.14109992980957
1741793072.2128305,57,5.094900131225586
1741793126.3874388,60,5.066199779510498
1741793668.1128242,61,5.02839994430542
1741793704.0529246,63,4.991799831390381
1741793740.4395497,65,4.948800086975098
1741794282.1197686,66,4.927999973297119
1741794300.435794,67,4.882599830627441
1741794319.7548604,68,4.870100021362305
1741794895.722277,71,4.766300201416016
1741794914.2769237,72,4.738900184631348
1741794932.859502,73,4.745500087738037
1741794950.3910174,74,4.685699939727783
1741795509.4676669,76,4.617499828338623
1741795563.61508,79,4.528800010681152
1741796175.6932144,84,4.405799865722656
1741796193.9461515,85,4.403200149536133
1741796733.685206,86,4.347599983215332
1741796751.1763132,87,4.301599979400635
1741796769.6925638,88,4.307000160217285
1741796788.0335243,89,4.326000213623047
1741797402.724377,94,4.1417999267578125
1741798590.315352,102,4.030799865722656
1741798644.631385,105,3.955399990081787
1741799183.6982799,106,3.9474000930786133
1741799834.126659,113,3.8131000995635986
1741800410.1382468,116,3.7606000900268555
1741800447.5152118,118,3.7083001136779785
1741800466.0164502,119,3.6928000450134277
1741800484.5885272,120,3.6702001094818115
1741801080.2294302,124,3.594899892807007
1741801098.7268739,125,3.5597000122070312
1741801638.5971386,126,3.5578999519348145
1741801693.2313108,129,3.501499891281128
1741801712.434417,130,3.483299970626831
1741802289.939692,133,3.44350004196167
1741802883.6269703,137,3.3775999546051025
1741802920.611592,139,3.3854000568389893
1741803477.753067,141,3.226900100708008
1741803496.8169158,142,3.2623000144958496
1741803514.9461615,143,3.2007999420166016
1741803533.245018,144,3.2190001010894775
1741804128.734882,148,3.144200086593628
1741804166.4663267,150,3.107300043106079
1741804742.7058895,153,3.072499990463257
1741804761.369966,154,3.0634000301361084
1741804781.0257812,155,3.052500009536743
1741805335.9638033,157,3.000699996948242
1741805354.6333141,158,3.02810001373291
1741805372.833597,159,2.993499994277954
1741805936.3548014,162,2.9974000453948975
1741805974.6837013,164,2.8910000324249268
1741805993.0190394,165,2.8417000770568848
1741806544.954017,167,2.795099973678589
1741806564.3586705,168,2.8348000049591064
1741807133.1829596,171,2.767899990081787
1741807741.8839798,176,2.687299966812134
1741807761.6656926,177,2.6756999492645264
1741807780.440377,178,2.5859999656677246
1741807817.61047,180,2.651099920272827
1741808349.9851005,181,2.6415998935699463
1741808387.7847402,183,2.5485999584198
1741808425.185938,185,2.50570011138916
1741808957.0008814,186,2.515899896621704
1741808975.8697836,187,2.390700101852417
1741808994.8735087,188,2.4823999404907227
1741809034.084783,190,2.3905999660491943
1741809566.552283,191,2.437999963760376
1741810214.3154242,198,2.3833999633789062
1741810784.8789914,202,2.2708001136779785
1741811328.462151,206,2.2936999797821045
1741811347.7257655,207,2.165600061416626
1741811366.969003,208,2.141700029373169
1741811913.3208032,212,2.073499917984009
1741811970.3499873,215,2.0834999084472656
1741812519.3326733,218,2.071000099182129
1741812538.209532,219,1.9839999675750732
1741813062.1984313,222,1.9078999757766724
1741813081.1109624,223,1.9767999649047852
1741813119.2479117,225,2.020900011062622
1741813620.6443524,226,1.9637000560760498
1741813640.4504576,227,1.9522000551223755
1741813677.761931,229,1.8401999473571777
1741813697.1141372,230,1.8600000143051147
1741814187.3134806,232,2.0885000228881836
1741814206.443202,233,1.8418999910354614
1741814225.935256,234,1.7868000268936157
1741814756.0774295,237,1.9319000244140625
1741814813.6146555,240,1.8661999702453613
1741815391.7016242,245,1.8473999500274658
1741815881.1543093,247,1.8127000331878662
1741815919.2920396,249,1.787600040435791
1741815938.844404,250,1.7136000394821167
1741816472.5086744,255,1.6994999647140503
1741816994.6225111,258,1.6957000494003296
1741817013.8258178,259,1.7453999519348145
1741817032.8594823,260,1.6411999464035034
