Wall time,Step,Value
1741786446.18618,5,1.0
1741786970.2556293,6,1.0
1741787038.1106415,10,1.0
1741787562.580478,11,1.0
1741787598.3117332,13,0.7698000073432922
1741787615.9505622,14,0.7555000185966492
1741787633.8377013,15,0.7796000242233276
1741788180.6436179,17,0.8885999917984009
1741788198.3003237,18,0.7680000066757202
1741788216.061144,19,0.745199978351593
1741788234.3036556,20,0.7476000189781189
1741788823.3169,24,0.7443000078201294
1741790021.6743143,33,0.6933000087738037
1741790040.1945019,34,0.6826000213623047
1741790597.7500186,36,0.6644999980926514
1741790651.2266731,39,0.6297000050544739
1741790670.011629,40,0.5921000242233276
1741791225.760068,42,0.5846999883651733
1741791261.840827,44,0.5745000243186951
1741791280.360138,45,0.5753999948501587
1741791841.0689266,47,0.5809999704360962
1741791877.6271036,49,0.5694000124931335
1741791895.6832924,50,0.5582000017166138
1741792475.5233872,53,0.554099977016449
1741792493.357845,54,0.5587000250816345
1741792511.219668,55,0.5317999720573425
1741793053.7580156,56,0.5313000082969666
1741793072.2129786,57,0.5364000201225281
1741793126.3875518,60,0.5164999961853027
1741793668.1129289,61,0.5206000208854675
1741793704.053042,63,0.5034999847412109
1741793740.4396667,65,0.5072000026702881
1741794282.119897,66,0.5131999850273132
1741794300.435906,67,0.5077000260353088
1741794319.7549763,68,0.5123000144958496
1741794895.7224088,71,0.46869999170303345
1741794914.277032,72,0.49880000948905945
1741794932.8596036,73,0.47749999165534973
1741794950.3911276,74,0.48030000925064087
1741795509.4678075,76,0.4821000099182129
1741795563.6151936,79,0.447299987077713
1741796175.6933217,84,0.4226999878883362
1741796193.9462588,85,0.43479999899864197
1741796733.6853204,86,0.4138999879360199
1741796751.1764238,87,0.43059998750686646
1741796769.6926866,88,0.4226999878883362
1741796788.0336545,89,0.42320001125335693
1741797402.7244835,94,0.4032000005245209
1741798590.315473,102,0.3824000060558319
1741798644.6315098,105,0.39070001244544983
1741799183.6983862,106,0.4059999883174896
1741799834.1267643,113,0.37119999527931213
1741800410.138392,116,0.3702999949455261
1741800447.5153117,118,0.3628999888896942
1741800466.016556,119,0.3856000006198883
1741800484.588643,120,0.35679998993873596
1741801080.229538,124,0.33739998936653137
1741801098.7270339,125,0.35269999504089355
1741801638.597318,126,0.33739998936653137
1741801693.2314095,129,0.3587000072002411
1741801712.4345198,130,0.3443000018596649
1741802289.9398339,133,0.3294999897480011
1741802883.6270757,137,0.3312999904155731
1741802920.611698,139,0.33970001339912415
1741803477.7531712,141,0.32339999079704285
1741803496.8170345,142,0.3118000030517578
1741803514.9462636,143,0.3021000027656555
1741803533.245119,144,0.3142000138759613
1741804128.7350087,148,0.2955999970436096
1741804166.466453,150,0.3025999963283539
1741804742.7060068,153,0.296999990940094
1741804761.3700762,154,0.296099990606308
1741804781.0258915,155,0.30630001425743103
1741805335.9639115,157,0.2946999967098236
1741805354.633492,158,0.2992999851703644
1741805372.8337102,159,0.3151000142097473
1741805936.3549044,162,0.3100000023841858
1741805974.6838026,164,0.2784000039100647
1741805993.0191698,165,0.28679999709129333
1741806544.9541225,167,0.2728999853134155
1741806564.358769,168,0.28450000286102295
1741807133.183071,171,0.2775000035762787
1741807741.8840773,176,0.27469998598098755
1741807761.6658442,177,0.2515000104904175
1741807780.4404738,178,0.2741999924182892
1741807817.61057,180,0.24320000410079956
1741808349.9852037,181,0.25940001010894775
1741808387.784863,183,0.25429999828338623
1741808425.186073,185,0.26080000400543213
1741808957.0009992,186,0.2574999928474426
1741808975.8698971,187,0.23989999294281006
1741808994.8736477,188,0.25060001015663147
1741809034.084919,190,0.24690000712871552
1741809566.5523968,191,0.23759999871253967
1741810214.3155253,198,0.22460000216960907
1741810784.8790936,202,0.2353000044822693
1741811328.462248,206,0.21439999341964722
1741811347.7258635,207,0.2110999971628189
1741811366.969111,208,0.21809999644756317
1741811913.3209114,212,0.19349999725818634
1741811970.3501008,215,0.20600000023841858
1741812519.332773,218,0.1940000057220459
1741812538.2142353,219,0.18279999494552612
1741813062.1985734,222,0.1842000037431717
1741813081.1110525,223,0.1949000060558319
1741813119.2480128,225,0.17350000143051147
1741813620.6444645,226,0.19859999418258667
1741813640.450574,227,0.17730000615119934
1741813677.7620583,229,0.17080000042915344
1741813697.1142504,230,0.1875
1741814187.3135846,232,0.1906999945640564
1741814206.44335,233,0.1670999974012375
1741814225.9353652,234,0.17170000076293945
1741814756.0775416,237,0.17910000681877136
1741814813.6147547,240,0.17399999499320984
1741815391.7017307,245,0.16189999878406525
1741815881.154499,247,0.18520000576972961
1741815919.292142,249,0.17399999499320984
1741815938.8445196,250,0.14990000426769257
1741816472.5087776,255,0.15309999883174896
1741816994.6226182,258,0.15729999542236328
1741817013.8259208,259,0.15309999883174896
1741817032.859592,260,0.15960000455379486
1741817541.0964923,261,0.15080000460147858
1741817578.7550817,263,0.15780000388622284
1741818126.3574054,267,0.14339999854564667
1741818165.7521658,269,0.13230000436306
1741818602.8265803,271,0.13459999859333038
1741818640.769281,273,0.12759999930858612
1741819196.6784992,278,0.13130000233650208
1741819235.8013124,280,0.1581999957561493
1741819757.8053741,284,0.13410000503063202
1741820278.3269913,289,0.1420000046491623
1741820752.6308575,291,0.12530000507831573
1741820771.23096,292,0.13920000195503235
1741820829.3317683,295,0.12710000574588776
1741821307.569234,297,0.13500000536441803
1741821326.505028,298,0.1257999986410141
1741821345.6328468,299,0.133200004696846
1741821875.2279112,301,0.12020000070333481
1741821894.4230704,302,0.1298999935388565
1741821913.8682618,303,0.1234000027179718
1741822484.7433813,307,0.1289999932050705
1741822504.4670258,308,0.13500000536441803
1741822543.0931978,310,0.12710000574588776
1741823035.1431518,313,0.12250000238418579
1741823563.0516949,317,0.12849999964237213
1741823582.2914395,318,0.1168999969959259
1741823602.0288236,319,0.11739999800920486
1741823621.0192926,320,0.11969999969005585
1741824101.3023808,322,0.13130000233650208
1741824158.2954981,325,0.12809999287128448
1741824647.2756338,326,0.11969999969005585
1741824666.719703,327,0.13130000233650208
1741824725.3194618,330,0.11649999767541885
1741825211.140595,331,0.12439999729394913
1741825249.6475842,333,0.1234000027179718
1741825777.4859185,339,0.11320000141859055
1741826290.6764984,341,0.10719999670982361
1741826349.5496957,344,0.1168999969959259
1741826369.3395534,345,0.1257999986410141
1741826800.8671181,347,0.10719999670982361
1741826820.3553169,348,0.11789999902248383
1741827319.2155495,353,0.11829999834299088
1741827339.2871654,354,0.10719999670982361
1741827840.287366,356,0.10260000079870224
1741827878.9498093,358,0.10209999978542328
1741827898.368823,359,0.11550000309944153
1741827918.1583273,360,0.10769999772310257
1741828417.9127448,363,0.10019999742507935
1741828437.5919247,364,0.09560000151395798
1741828941.637636,367,0.10490000247955322
1741828961.4852827,368,0.10769999772310257
1741829000.958632,370,0.10580000281333923
1741829465.1444669,371,0.1062999963760376
1741829503.7588735,373,0.10899999737739563
1741830027.6721008,377,0.10809999704360962
